id,text,len tweet,likes,rt,position
1271150584503119875,"RT @CentralFM_: Respalda AMLO iniciativa para desaparecer IFT, COFECE y CRE.

Si esta iniciativa de Monreal va a crear ahorro, “adelante”.…",139,0,11,0
1271150272509771780,RT @CentralFM_: Pide AMLO vencer miedos y salir del aislamiento https://t.co/7dAiZtUnoi,87,0,17,0
1270507001777455106,"RT @CentralFM_: La confrontación enfermiza de AMLO por polarizar al país

Análisis de @PedroFerriz https://t.co/2MotAS6004",122,0,51,0
1270373521835921409,RT @CentralFM_: Logramos aplanar la curva sin saturación de hospitales: AMLO https://t.co/vL90KV0DK5,100,0,17,0
1268659501462368274,"RT @CentralFM_: “No mentir, no robar y no traicionar, ayuda a protegerme del coronavirus: AMLO 😂😂😂 https://t.co/5Om1rAtt7m",122,0,19,0
1268580344351150082,"RT @CentralFM_: AMLO ""justifica"" cifra más alta de fallecidos por Covid-19 en 24 horas https://t.co/OeJJzjEi9X",110,0,13,0
1267566334591762433,RT @CentralFM_: Más de 70 ciudades unidas por un sólo fin: #AmloVeteYa https://t.co/HwaXelpjjM,94,0,74,0
1267555603511152640,RT @CentralFM_: AMLO arranca gira y se dice satisfecho por lo alcanzado en 18 meses https://t.co/ILXJ1sanMk,107,0,8,0
1266882713182748672,RT @CentralFM_: FRENA se hace presente en todo el país: piden la renuncia de AMLO https://t.co/zo7tvnxBwM,105,0,371,0
1266882579048927232,"RT @CentralFM_: ""La pandemia no nos agarró mal parados"": AMLO https://t.co/rawsrtMiKZ",85,0,18,0
1266488160386715653,RT @CentralFM_: La 4T está llevando a México a la peor crisis de su historia: Pedro Ferriz de Con https://t.co/VP1dw8pZsv,121,0,145,0
1266325094130909185,¿Piensas apoyar a FRENA en el objetivo de terminar con el régimen de AMLO y su agenda socialista 🇲🇽?,100,1498,1136,0
1266112018278313984,"RT @CentralFM_: Contrario a lo que asegura el presidente Andrés Manuel López Obrador, las imágenes y la información muestran totalmente otr…",140,0,43,0
1266035215492878338,"RT @CentralFM_: La pandemia ya se “domó”, no hay riesgo de saturación en hospitales: AMLO https://t.co/4eWkxV7s5i",113,0,31,0
1265500878628360192,"RT @CentralFM_: #Entr3Mentes:
 
“Existe una denuncia de juicio político contra AMLO por traición a la patria,  @gilbertolozanog #FRENAAA…",137,0,85,0
1265319615032221698,RT @CentralFM_: Asegura AMLO que Twitter aceptó la existencia de Bots https://t.co/P2Cd19f5i6,93,0,18,0
1265009804550057989,"RT @CentralFM_: #Entr3Mentes:
 
“Existe una denuncia de juicio político contra AMLO por traición a la patria, con más de 50 evidencias”.…",137,0,126,0
